time,x,y,yaw
0,501,1104.648,-1.97674245752864
0.5,501.01121022365,1104.63716254161,-1.97674245752864
1,501.0234204473,1104.62532508323,-1.97674245752864
1.5,501.007630670951,1104.55048762484,-1.97674245752864
2,500.992840894601,1104.47565016646,-1.97674245752864
2.5,500.906051118251,1104.28081270807,-1.97674245752864
3,500.820261341901,1104.08597524969,-1.97674245752864
3.5,500.573382254863,1103.56378347891,-1.90692928744887
4,500.363789075845,1103.02656406408,-1.8371161173691
4.5,500.23706289911,1102.66100733002,-1.90692928744887
5,500.084102236502,1102.30562541615,-1.97674245752864
5.5,500.021933757819,1101.96253208029,-1.94619919561874
6,499.968886450718,1101.61741304983,-1.91565593370884
6.5,499.736961674063,1100.71527379293,-1.88511267179894
7,499.533160565184,1099.80611983516,-1.85456940988904
7.5,499.358729309414,1098.00917882324,-1.68003648468961
8,499.499087884323,1096.2100681861,-1.50550355949018
8.5,499.950076132585,1094.46197310062,-1.33097063429075
9,501.389061115119,1091.63985961615,-1.16952767848127
9.5,503.262272303183,1089.08485915801,-1.0080847226718
10,505.522500095774,1086.86403760817,-0.846641766862327
10.5,507.863587059969,1084.52821750945,-0.755011981132626
11,510.873867621806,1081.56366100396,-0.76082974530594
11.5,513.885131059213,1078.59908867105,-0.766647509479254
12,517.205083338963,1075.66234573253,-0.720105396092739
12.5,520.80458681142,1072.52502680472,-0.720105396092739
