time,x,y,yaw
0,536.306,1072.889,2.39986262809688
0.5,536.304525398162,1072.89035112894,2.39986262809688
1,536.303050796324,1072.89170225789,2.39986262809688
1.5,536.301576194487,1072.89305338683,2.39986262809688
2,536.270101592649,1072.86140451577,2.39986262809688
2.5,536.268626990811,1072.86275564471,2.39986262809688
3,536.267152388973,1072.86410677366,2.39986262809688
3.5,536.235677787135,1072.8324579026,2.39986262809688
4,536.234203185297,1072.83380903154,2.39986262809688
4.5,536.235728583459,1072.77116016048,2.39986262809688
5,536.234253981622,1072.77251128943,2.39986262809688
5.5,536.232779379784,1072.77386241837,2.39986262809688
6,536.246304777946,1072.79221354731,2.39986262809688
6.5,536.259830176108,1072.80956467626,2.39986262809688
7,536.25835557427,1072.8109158052,2.39986262809688
7.5,536.256880972432,1072.81226693414,2.39986262809688
8,536.255406370595,1072.81361806308,2.39986262809688
8.5,536.253931768757,1072.81496919203,2.39986262809688
9,536.252457166919,1072.81632032097,2.39986262809688
9.5,536.233982565081,1072.83367144991,2.39986262809688
10,536.216507963243,1072.85002257885,2.39986262809688
10.5,536.215033361405,1072.8513737078,2.39986262809688
11,536.213558759567,1072.85272483674,2.39986262809688
11.5,536.16208415773,1072.89907596568,2.39986262809688
12,536.111609555892,1072.94642709463,2.39986262809688
12.5,536.126134954054,1072.93177822357,2.39986262809688
13,536.141660352216,1072.91812935251,2.39986262809688
13.5,536.125185750378,1072.90348048145,2.39986262809688
14,536.10771114854,1072.8878316104,2.39986262809688
14.5,536.084236546703,1072.90918273934,2.39986262809688
15,536.060761944865,1072.93153386828,2.39986262809688
15.5,536.037287343027,1072.95288499722,2.39986262809688
16,536.057812741189,1072.93423612617,2.39986262809688
16.5,536.078338139351,1072.91458725511,2.39986262809688
17,536.098863537513,1072.89593838405,2.39986262809688
17.5,536.153388935676,1072.84728951299,2.39986262809688
18,536.206914333838,1072.79764064194,2.39986262809688
18.5,536.260439732,1072.74899177088,2.39986262809688
