time,x,y,yaw
0,453.719,1123.142,2.40543022838291
0.5,453.164494687439,1123.63731682728,2.42288352090286
1,452.6099438698,1124.13258071079,2.4403368134228
1.5,452.122348943475,1124.57079047137,2.45779010594274
2,451.634711332009,1125.00994496258,2.47524339846269
2.5,451.109139165011,1125.42318120322,2.47524339846269
3,450.583566998013,1125.83641744387,2.47524339846269
3.5,450.056994831015,1126.25065368451,2.47524339846269
4,449.461538587311,1126.71903559633,2.46360787011606
4.5,448.866113222389,1127.18745239746,2.45197234176943
5,448.270719349002,1127.65590355397,2.4403368134228
5.5,447.768785568966,1128.02469902785,2.46942563428937
6,447.256793911808,1128.37739187883,2.49851445515594
6.5,446.73474874096,1128.71597945223,2.52760327602252
7,446.188974126146,1129.0599313883,2.53632992228249
7.5,445.644181404009,1129.40485340598,2.54505656854246
8,445.013370962325,1129.83074526282,2.55378321480243
8.5,444.382543191712,1130.25560672088,2.5625098610624
9,443.751698485582,1130.68143754676,2.57123650732237
9.5,443.120837240092,1131.10623751158,2.57996315358235
10,442.439959854093,1131.46100639109,2.58868979984232
10.5,441.76006672908,1131.81474396562,2.59741644610229
11,441.079158269146,1132.16845002018,2.60614309236226
11.5,440.398234880925,1132.52312434442,2.61486973862223
