time,x,y,yaw
0,513.574,1086.791,2.41192285318341
0.5,511.888515042437,1088.24133973917,2.40755953005342
1,510.204041804538,1089.69169241149,2.40319620692343
1.5,508.518580370783,1091.14205794007,2.39883288379345
2,506.834130825203,1092.59243624753,2.39446956066346
2.5,506.508663531504,1092.89479530941,2.39446956066346
3,506.182196237805,1093.19615437129,2.39446956066346
3.5,505.856728944106,1093.49751343318,2.39446956066346
4,505.882261650406,1093.51387249506,2.39446956066346
4.5,505.907794356707,1093.52923155694,2.39446956066346
5,505.933327063008,1093.54459061882,2.39446956066346
5.5,505.916941923109,1093.64103914961,2.32465639058369
6,505.561573007028,1094.10649725412,2.32465639058369
6.5,505.207204090947,1094.57195535864,2.32465639058369
7,504.871269238761,1095.11145176225,2.21120998920406
7.5,504.598912569447,1095.68593008753,2.09776358782443
8,504.480252289502,1096.01139903229,2.04976703339458
8.5,504.377796293435,1096.34189101358,2.00177047896474
9,504.291547375613,1096.67739201846,1.95377392453489
9.5,504.221507451857,1097.01588782859,1.90577737010505
10,504.231511245793,1097.11700040813,1.88832407758511
10.5,504.242585163781,1097.21712320827,1.87087078506516
11,504.255729553595,1097.3172544216,1.85341749254522
11.5,504.270944721228,1097.41739223191,1.83596420002528
12,504.287230930691,1097.51753481501,1.81851090750533
12.5,504.303588403836,1097.6166803397,1.80105761498539
13,504.30490604582,1098.00101090167,1.7661510299455
13.5,504.319372928408,1098.38330641271,1.73124444490562
14,504.347988126716,1098.76655928035,1.69633785986573
14.5,504.414467205016,1099.86199755279,1.57998257639944
15,504.607417840518,1100.94165577359,1.46362729293315
15.5,504.923743393243,1101.99245758135,1.34727200946686
16,505.460571944144,1103.56893389043,1.26000554686715
