time,x,y,yaw
0,441.120213794767,1138.49077627517,-0.501631300340688
0.5,444.827656213701,1136.38599726363,-0.519701036330248
1,448.457542141549,1134.2128411364,-0.547172679247215
1.5,451.984709130353,1131.97614935379,-0.576383344625931
2,455.455111389703,1129.64477286045,-0.603276494397518
2.5,458.942208808505,1127.15422320826,-0.627174398011411
3,462.422531756017,1124.51825525908,-0.657549700539272
3.5,465.914157284739,1121.72563132679,-0.678200735255441
4,469.355419173118,1118.85812732733,-0.691232089305056
4.5,472.783368752615,1115.95484859513,-0.696039030493245
5,476.134707952554,1113.10820633939,-0.691398947338841
5.5,479.096048689279,1110.5983390299,-0.690219513493651
6,481.597485383753,1108.48657621325,-0.692454970090649
6.5,483.194366632356,1107.12773265879,-0.694366356223806
7,484.743727900043,1105.81857320451,-0.693927320145413
7.5,485.825930763045,1104.90023914151,-0.693540825561327
8,486.529265438441,1104.30194862379,-0.693043682118388
8.5,487.100064481562,1103.81327834027,-0.693898204605397
9,487.739863601192,1103.26330687516,-0.695752418533628
9.5,488.441613368456,1102.65934687986,-0.697820339948974
10,489.237691961377,1101.97582633511,-0.695543941298396
10.5,490.285213630166,1101.08845436969,-0.694417093663387
11,491.35967401834,1100.17698260966,-0.694394102273177
11.5,492.62855903643,1099.103212128,-0.6933902232972
12,494.066061125859,1097.87712365558,-0.693576607096641
12.5,495.672555562299,1096.51110151565,-0.694812739597086
13,497.463701672752,1094.98469412202,-0.697473838557374
13.5,499.456875771376,1093.28143435617,-0.701170191849067
14,501.383274541961,1091.62876921948,-0.70434426118926
14.5,503.872659046618,1089.47425142626,-0.708678009363771
15,506.277386660667,1087.36246384547,-0.712447519251611
15.5,508.831110852252,1085.10347835969,-0.714507824505541
16,511.509365277204,1082.76581202903,-0.714982571661502
16.5,514.325716125076,1080.27118807864,-0.716787126907736
17,517.227133471107,1077.67548120292,-0.716834523405761
17.5,520.783270837625,1074.52422018473,-0.7131823251979
18,523.212691034354,1072.36447555102,-0.712841764111666
18.5,526.287959276083,1069.67499420473,-0.71085115701195
19,529.387571801808,1066.93484383298,-0.713843509667692
19.5,532.510858043317,1064.18822280156,-0.709585725693031
