time,x,y,yaw
0,488.711,1078.269,-2.25754848096409
0.5,488.709731942118,1078.26745338136,-2.25754848096409
1,488.702463884235,1078.25890676273,-2.25754848096409
1.5,488.695195826353,1078.25036014409,-2.25754848096409
2,488.68792776847,1078.24081352545,-2.25754848096409
2.5,488.695659710588,1078.25026690682,-2.25754848096409
3,488.703391652705,1078.25972028818,-2.25754848096409
3.5,488.713123594823,1078.24917366954,-2.25754848096409
4,488.72285553694,1078.23862705091,-2.25754848096409
4.5,488.721587479058,1078.23708043227,-2.25754848096409
